会社名,みなし残業等,URL
株式会社アクロビジョン,有り,https://tenshoku.mynavi.jp/jobinfo-230455-1-52-1/msg/?ty=0&searchId=1358125679&pageNum=1&showNo=1
株式会社どうとんぼり神座,なし,https://tenshoku.mynavi.jp/jobinfo-320387-1-6-1/msg/?ty=0&searchId=1358125679&pageNum=1&showNo=2
株式会社グッドワークス,有り,https://tenshoku.mynavi.jp/jobinfo-300497-1-5-1/?ty=0&searchId=1358125679&pageNum=1&showNo=3
